gemeente;soort;jaar;verkiezing;"verkiezing-
partij";p;partij;w;sb;stemmen;opmerking
Leiden;GR;2002;GR2002;GR2002-9;9;CU;7;18;21;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;7;19;192;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;7;19;227;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;7;19;171;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;7;19;36;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;7;19;156;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;7;19;107;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;7;19;21;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;7;19;28;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;7;19;31;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;2;20;182;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;2;20;179;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;2;20;188;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;2;20;77;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;2;20;130;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;2;20;108;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;2;20;31;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;2;20;41;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;2;20;39;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;3;21;155;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;3;21;81;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;3;21;161;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;3;21;80;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;3;21;97;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;3;21;60;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;3;21;20;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;3;21;61;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;3;21;22;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;3;22;148;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;3;22;60;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;3;22;84;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;3;22;87;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;3;22;52;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;3;22;41;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;3;22;22;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;3;22;98;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;3;22;9;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;3;23;140;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;3;23;30;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;3;23;71;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;3;23;79;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;3;23;64;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;3;23;29;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;3;23;18;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;3;23;64;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;3;23;17;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;3;24;170;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;3;24;34;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;3;24;98;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;3;24;88;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;3;24;43;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;3;24;51;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;3;24;28;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;3;24;119;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;3;24;14;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;3;26;206;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;3;26;96;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;3;26;56;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;3;26;78;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;3;26;57;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;3;26;68;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;3;26;30;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;3;26;131;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;3;26;24;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;3;27;169;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;3;27;40;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;3;27;70;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;3;27;46;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;3;27;55;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;3;27;41;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;3;27;18;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;3;27;90;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;3;27;14;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;3;28;182;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;3;28;52;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;3;28;72;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;3;28;54;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;3;28;40;
